n,has_partitions,p,q,j,k
2,False,,,,
3,False,,,,
5,True,2.0,3.0,1.0,1.0
7,True,2.0,3.0,2.0,1.0
7,True,2.0,5.0,1.0,1.0
11,True,2.0,7.0,2.0,1.0
11,True,2.0,3.0,3.0,1.0
11,True,2.0,3.0,1.0,2.0
13,True,2.0,11.0,1.0,1.0
13,True,2.0,5.0,3.0,1.0
13,True,2.0,3.0,2.0,2.0
17,True,2.0,3.0,3.0,2.0
17,True,2.0,13.0,2.0,1.0
19,True,2.0,11.0,3.0,1.0
19,True,2.0,17.0,1.0,1.0
19,True,2.0,3.0,4.0,1.0
23,True,2.0,7.0,4.0,1.0
23,True,2.0,19.0,2.0,1.0
29,True,2.0,3.0,1.0,3.0
29,True,2.0,5.0,2.0,2.0
29,True,2.0,13.0,4.0,1.0
31,True,2.0,23.0,3.0,1.0
31,True,2.0,3.0,2.0,3.0
31,True,2.0,29.0,1.0,1.0
37,True,2.0,5.0,5.0,1.0
37,True,2.0,29.0,3.0,1.0
41,True,2.0,3.0,5.0,2.0
41,True,2.0,5.0,4.0,2.0
41,True,2.0,37.0,2.0,1.0
43,True,2.0,41.0,1.0,1.0
43,True,2.0,11.0,5.0,1.0
43,True,2.0,3.0,4.0,3.0
47,True,2.0,31.0,4.0,1.0
47,True,2.0,43.0,2.0,1.0
53,True,2.0,7.0,2.0,2.0
53,True,2.0,37.0,4.0,1.0
59,True,2.0,43.0,4.0,1.0
59,True,2.0,3.0,5.0,3.0
61,True,2.0,53.0,3.0,1.0
61,True,2.0,59.0,1.0,1.0
61,True,2.0,29.0,5.0,1.0
67,True,2.0,59.0,3.0,1.0
67,True,2.0,3.0,6.0,1.0
71,True,2.0,67.0,2.0,1.0
71,True,2.0,7.0,6.0,1.0
73,True,2.0,71.0,1.0,1.0
73,True,2.0,3.0,6.0,2.0
73,True,2.0,41.0,5.0,1.0
79,True,2.0,47.0,5.0,1.0
79,True,2.0,71.0,3.0,1.0
83,True,2.0,79.0,2.0,1.0
83,True,2.0,19.0,6.0,1.0
83,True,2.0,67.0,4.0,1.0
83,True,2.0,3.0,1.0,4.0
89,True,2.0,3.0,3.0,4.0
89,True,2.0,73.0,4.0,1.0
89,True,2.0,5.0,6.0,2.0
97,True,2.0,89.0,3.0,1.0
97,True,2.0,3.0,4.0,4.0
101,True,2.0,97.0,2.0,1.0
101,True,2.0,37.0,6.0,1.0
103,True,2.0,71.0,5.0,1.0
103,True,2.0,101.0,1.0,1.0
107,True,2.0,43.0,6.0,1.0
107,True,2.0,103.0,2.0,1.0
109,True,2.0,101.0,3.0,1.0
109,True,2.0,107.0,1.0,1.0
113,True,2.0,7.0,6.0,2.0
113,True,2.0,3.0,5.0,4.0
113,True,2.0,109.0,2.0,1.0
113,True,2.0,97.0,4.0,1.0
127,True,2.0,5.0,1.0,3.0
131,True,2.0,67.0,6.0,1.0
131,True,2.0,127.0,2.0,1.0
131,True,2.0,3.0,7.0,1.0
137,True,2.0,73.0,6.0,1.0
137,True,2.0,3.0,7.0,2.0
137,True,2.0,11.0,4.0,2.0
139,True,2.0,137.0,1.0,1.0
139,True,2.0,107.0,5.0,1.0
139,True,2.0,11.0,7.0,1.0
139,True,2.0,131.0,3.0,1.0
149,False,,,,
151,True,2.0,149.0,1.0,1.0
151,True,2.0,23.0,7.0,1.0
157,True,2.0,29.0,7.0,1.0
157,True,2.0,149.0,3.0,1.0
157,True,2.0,5.0,5.0,3.0
163,True,2.0,131.0,5.0,1.0
167,True,2.0,103.0,6.0,1.0
167,True,2.0,151.0,4.0,1.0
167,True,2.0,163.0,2.0,1.0
173,True,2.0,109.0,6.0,1.0
173,True,2.0,157.0,4.0,1.0
173,True,2.0,13.0,2.0,2.0
179,True,2.0,163.0,4.0,1.0
181,True,2.0,53.0,7.0,1.0
181,True,2.0,173.0,3.0,1.0
181,True,2.0,179.0,1.0,1.0
181,True,2.0,149.0,5.0,1.0
191,True,2.0,127.0,6.0,1.0
193,True,2.0,191.0,1.0,1.0
197,True,2.0,181.0,4.0,1.0
197,True,2.0,193.0,2.0,1.0
199,True,2.0,167.0,5.0,1.0
199,True,2.0,197.0,1.0,1.0
199,True,2.0,71.0,7.0,1.0
199,True,2.0,191.0,3.0,1.0
211,True,2.0,83.0,7.0,1.0
211,True,2.0,179.0,5.0,1.0
223,True,2.0,191.0,5.0,1.0
227,True,2.0,163.0,6.0,1.0
227,True,2.0,223.0,2.0,1.0
227,True,2.0,211.0,4.0,1.0
229,True,2.0,227.0,1.0,1.0
229,True,2.0,101.0,7.0,1.0
229,True,2.0,197.0,5.0,1.0
233,True,2.0,229.0,2.0,1.0
233,True,2.0,13.0,6.0,2.0
239,True,2.0,223.0,4.0,1.0
241,True,2.0,233.0,3.0,1.0
241,True,2.0,239.0,1.0,1.0
241,True,2.0,113.0,7.0,1.0
251,True,2.0,3.0,3.0,5.0
257,True,2.0,241.0,4.0,1.0
257,True,2.0,193.0,6.0,1.0
263,True,2.0,7.0,8.0,1.0
263,True,2.0,199.0,6.0,1.0
269,True,2.0,13.0,8.0,1.0
271,True,2.0,263.0,3.0,1.0
271,True,2.0,239.0,5.0,1.0
271,True,2.0,269.0,1.0,1.0
277,True,2.0,269.0,3.0,1.0
277,True,2.0,149.0,7.0,1.0
281,True,2.0,277.0,2.0,1.0
281,True,2.0,5.0,8.0,2.0
283,True,2.0,251.0,5.0,1.0
283,True,2.0,281.0,1.0,1.0
283,True,2.0,3.0,8.0,3.0
293,True,2.0,277.0,4.0,1.0
293,True,2.0,17.0,2.0,2.0
293,True,2.0,37.0,8.0,1.0
293,True,2.0,229.0,6.0,1.0
307,True,2.0,179.0,7.0,1.0
307,True,2.0,3.0,6.0,5.0
311,True,2.0,307.0,2.0,1.0
313,True,2.0,311.0,1.0,1.0
313,True,2.0,281.0,5.0,1.0
317,True,2.0,61.0,8.0,1.0
317,True,2.0,313.0,2.0,1.0
331,False,,,,
337,True,2.0,3.0,8.0,4.0
347,True,2.0,331.0,4.0,1.0
347,True,2.0,7.0,2.0,3.0
347,True,2.0,283.0,6.0,1.0
349,True,2.0,347.0,1.0,1.0
349,True,2.0,317.0,5.0,1.0
353,True,2.0,97.0,8.0,1.0
353,True,2.0,337.0,4.0,1.0
353,True,2.0,17.0,6.0,2.0
353,True,2.0,349.0,2.0,1.0
359,True,2.0,103.0,8.0,1.0
359,True,2.0,7.0,4.0,3.0
367,True,2.0,239.0,7.0,1.0
367,True,2.0,359.0,3.0,1.0
373,False,,,,
379,True,2.0,251.0,7.0,1.0
379,True,2.0,347.0,5.0,1.0
383,True,2.0,367.0,4.0,1.0
383,True,2.0,127.0,8.0,1.0
383,True,2.0,379.0,2.0,1.0
389,True,2.0,373.0,4.0,1.0
397,True,2.0,389.0,3.0,1.0
397,True,2.0,269.0,7.0,1.0
401,True,2.0,337.0,6.0,1.0
401,True,2.0,397.0,2.0,1.0
409,True,2.0,281.0,7.0,1.0
409,True,2.0,401.0,3.0,1.0
419,True,2.0,163.0,8.0,1.0
421,True,2.0,389.0,5.0,1.0
421,True,2.0,293.0,7.0,1.0
421,True,2.0,419.0,1.0,1.0
431,True,2.0,367.0,6.0,1.0
433,True,2.0,401.0,5.0,1.0
433,True,2.0,431.0,1.0,1.0
439,True,2.0,431.0,3.0,1.0
439,True,2.0,311.0,7.0,1.0
443,True,2.0,379.0,6.0,1.0
443,True,2.0,439.0,2.0,1.0
449,True,2.0,193.0,8.0,1.0
449,True,2.0,433.0,4.0,1.0
457,True,2.0,449.0,3.0,1.0
461,True,2.0,457.0,2.0,1.0
461,True,2.0,397.0,6.0,1.0
463,True,2.0,431.0,5.0,1.0
463,True,2.0,461.0,1.0,1.0
467,True,2.0,463.0,2.0,1.0
467,True,2.0,211.0,8.0,1.0
479,True,2.0,223.0,8.0,1.0
479,True,2.0,463.0,4.0,1.0
487,True,2.0,479.0,3.0,1.0
487,True,2.0,359.0,7.0,1.0
491,True,2.0,487.0,2.0,1.0
