n,count
0-999,12
1000-1999,12
2000-2999,10
3000-3999,14
4000-4999,12
5000-5999,7
6000-6999,13
7000-7999,15
8000-8999,17
9000-9999,10
10000-10999,11
11000-11999,14
12000-12999,11
13000-13999,14
14000-14999,14
15000-15999,16
16000-16999,2
17000-17999,16
18000-18999,12
19000-19999,13
20000-20999,10
21000-21999,12
22000-22999,10
23000-23999,12
24000-24999,18
25000-25999,10
26000-26999,8
27000-27999,13
28000-28999,13
29000-29999,12
30000-30999,19
31000-31999,15
32000-32999,10
33000-33999,10
34000-34999,16
35000-35999,9
36000-36999,14
37000-37999,12
38000-38999,12
39000-39999,13
40000-40999,14
41000-41999,7
42000-42999,14
43000-43999,14
44000-44999,10
45000-45999,11
46000-46999,12
47000-47999,16
48000-48999,21
49000-49999,13
50000-50999,14
51000-51999,13
52000-52999,11
53000-53999,11
54000-54999,14
55000-55999,16
56000-56999,12
57000-57999,14
58000-58999,7
59000-59999,12
60000-60999,12
61000-61999,10
62000-62999,16
63000-63999,14
64000-64999,8
65000-65999,17
66000-66999,12
67000-67999,12
68000-68999,11
69000-69999,9
70000-70999,10
71000-71999,11
72000-72999,12
73000-73999,8
74000-74999,14
75000-75999,10
76000-76999,12
77000-77999,11
78000-78999,9
79000-79999,13
80000-80999,10
81000-81999,18
82000-82999,15
83000-83999,14
84000-84999,14
85000-85999,12
86000-86999,6
87000-87999,8
88000-88999,13
89000-89999,13
90000-90999,12
91000-91999,16
92000-92999,12
93000-93999,9
94000-94999,13
95000-95999,10
96000-96999,10
97000-97999,10
98000-98999,13
99000-99999,14
100000-100999,13
101000-101999,17
102000-102999,10
103000-103999,11
104000-104999,9
105000-105999,0
